id,label,x,y,closeness_all_edges,closeness_no_road_edges
50259,Mursa,45.56,18.676,0.08875196643943367,0.2608695652173913
50260,Musti,36.336,9.143,0.123992673992674,
50261,Mutina,44.647,10.925,0.09713055954088953,
50265,Narnia,42.52,12.516,0.10412180867425408,
50275,Nisibis,37.067,41.216,0.07315755349038254,0.30434782608695654
50274,Nicopolis (Pontus),40.161,38.139,0.06896903015484923,
50292,Parma,44.804,10.333,0.10157539384846212,
50296,Pella,40.76,22.526,0.11831527437958755,
50318,Potaissa,46.566,23.791,0.06894093686354379,
50321,Ptolemais Hermiou,26.478,31.804,0.06743027888446215,0.0715648854961832
50324,Reate,42.403,12.861,0.11478467277043065,
50134,Cosa,42.407,11.289,0.12271161863331521,0.1216347713266299
50406,Valentia,44.93,4.89,0.09706093189964157,0.09068923821039904
50145,Dertosa,40.811,0.521,0.10607959887182701,0.1079447322970639
50146,Deultum,42.445,27.367,0.09368945474674785,
50147,Deva,53.191,-2.895,0.08968075241753874,0.0911300121506683
50151,Doclea,42.5,18.5,0.08803641092327698,
50156,Durnonovaria,50.711,-2.434,0.09808751086641553,0.10013351134846461
50162,Eleusis,38.046,23.544,0.11460978500084645,0.1254180602006689
50165,Emmaus,31.839,34.989,0.0989187609585038,
50167,Emporiae,42.132,3.109,0.11069326357096142,0.10932944606413994
50171,Fanum Fortunae,43.845,13.017,0.10086412395709178,0.08875739644970414
50175,Formiae,41.256,13.606,0.10746031746031746,0.10866415531729934
50176,Forum Iulii,43.432,6.735,0.11177150404490672,0.1072654462242563
50200,Histria,44.645,28.769,0.09006252494346148,0.09328358208955224
50399,Tomis,44.173,28.638,0.08333333333333333,0.08542141230068337
50276,Novae,43.601,25.396,0.08008990890807997,0.06843065693430657
50376,Tabia,39.889,34.448,0.08202083838139083,
50384,Thagaste,36.284,7.955,0.10535325241207594,
50385,Thamugadi,35.485,6.468,0.0945794914780665,
50387,Thelepte,34.979,8.595,0.09313523180630073,
50390,Theveste,35.407,8.121,0.10037064492216456,
50382,Terenouthis,30.432,30.816,0.10718809373020899,0.11904761904761904
50388,Thelseai,33.648,36.665,0.08581569273672202,
50017,Alexandria,31.201,29.91,0.1540386803185438,0.1773049645390071
50022,Ancona,43.616,13.519,0.10809516206290914,0.09732675837010121
50034,Aquileia,45.768,13.365,0.11509690581434887,0.10683760683760683
50046,Ascalon,31.67,34.546,0.12176258992805755,0.13455328310010764
50047,Asculum,42.855,13.575,0.1084240871236387,
50006,Adramyttium,39.501,26.938,0.10619607843137255,0.11737089201877934
50014,Ake-Ptolemais,32.922,35.077,0.10910556003223207,0.11889663918833228
50020,Altinum,45.579,12.373,0.09798813142278189,0.08882046423495973
50042,Ariminum,44.059,12.563,0.09776173285198556,0.08232711306256861
50049,Aternum,42.465,14.214,0.1073580716777672,0.0969743987587277
50112,Catabathmus Maior,31.563,25.16,0.12560296846011132,0.13274336283185842
50019,Alexandria Troas,39.761,26.153,0.11704702627939143,0.1312106368089573
50011,Aesuris,37.218,-7.445,0.13419226957383548,0.14665623777864686
50036,Arae Philaenorum,30.294,18.788,0.11027854699462453,0.11464383980434117
50065,Barcino,41.388,2.17,0.10778538449291514,0.10825635103926097
50097,Calagurris,42.304,-1.965,0.08549059224649577,
50066,Barium,41.129,16.87,0.11258938965574589,0.10644337212602896
50051,Aufidena,41.336,16.194,0.10271582460931573,0.09637625289128758
50023,Ancyra,39.972,32.801,0.0884389288047028,
50054,Augusta Suessionum,49.381,3.326,0.08269207279833883,
50025,Caesarea (Phrygia),38.304,31.19,0.09660388127853882,
50027,Apamea (Pisidia),38.069,30.17,0.09551354401805869,
50043,Arretium,43.471,11.863,0.09678341672623303,
50057,Augustobona,48.297,4.075,0.07963768968356665,0.0722821896684657
50058,Augustobriga,39.807,-5.676,0.09236016371077763,
50015,Alba Fucens,42.08,13.412,0.10481498684006813,
50013,Aguntum,46.827,12.823,0.08420398009950249,
50004,Ad Tricesimum,46.158,13.216,0.1043786617329633,
50028,Aphroditopolis,29.408,31.252,0.09881769084805138,0.10831889081455806
50052,Augusta Praetoria,45.737,7.314,0.07865690716858371,
50048,Asturica,42.459,-6.064,0.11155050255396276,
50056,Augusta Vindelicum,48.365,10.895,0.07610161870503597,
50062,Aventicum,46.88,7.041,0.07467460842709023,
50060,Auzia,36.143,3.693,0.09545967287084038,
